id,price,brand,year,title_status,mileage,color,state,region,country
1,6300,toyota,2008,clean vehicle,274117,black,new jersey,Northeast,usa
2,2899,ford,2011,clean vehicle,190552,silver,tennessee,South,usa
3,5350,dodge,2018,clean vehicle,39590,silver,georgia,South,usa
4,25000,ford,2014,clean vehicle,64146,blue,virginia,South,usa
5,27700,chevrolet,2018,clean vehicle,6654,red,florida,South,usa
6,5700,dodge,2018,clean vehicle,45561,white,texas,South,usa
7,7300,chevrolet,2010,clean vehicle,149050,black,georgia,South,usa
8,13350,gmc,2017,clean vehicle,23525,gray,california,West,usa
9,14600,chevrolet,2018,clean vehicle,9371,silver,florida,South,usa
10,5250,ford,2017,clean vehicle,63418,black,texas,South,usa
11,10400,dodge,2009,clean vehicle,107856,orange,georgia,South,usa
12,12920,gmc,2017,clean vehicle,39650,white,california,West,usa
13,31900,chevrolet,2018,clean vehicle,22909,black,tennessee,South,usa
14,5430,chrysler,2017,clean vehicle,138650,gray,texas,South,usa
15,20700,ford,2013,clean vehicle,100757,black,virginia,South,usa
16,12710,gmc,2017,clean vehicle,25747,white,california,West,usa
17,5200,kia,2018,clean vehicle,46194,blue,north carolina,South,usa
18,16500,buick,2018,clean vehicle,20002,red,tennessee,South,usa
19,5210,ford,2017,clean vehicle,35714,white,texas,South,usa
20,38100,ford,2013,clean vehicle,54380,gray,virginia,South,usa
21,12520,gmc,2017,clean vehicle,30114,white,california,West,usa
22,7300,kia,2018,clean vehicle,38823,black,north carolina,South,usa
23,15000,chevrolet,2015,clean vehicle,61578,black,ohio,Midwest,usa
24,6180,ford,2017,clean vehicle,46010,blue,texas,South,usa
25,20800,ford,2013,clean vehicle,105510,silver,virginia,South,usa
26,11900,gmc,2017,clean vehicle,28040,silver,california,West,usa
27,21500,kia,2020,clean vehicle,11451,blue,north carolina,South,usa
28,12000,buick,2014,clean vehicle,31039,brown,ohio,Midwest,usa
29,4190,ford,2017,clean vehicle,44174,white,texas,South,usa
30,13000,ford,2008,clean vehicle,93698,white,tennessee,South,usa
31,12710,gmc,2017,clean vehicle,26364,silver,california,West,usa
32,18500,infiniti,2016,clean vehicle,71967,gray,new york,Northeast,usa
33,29800,chevrolet,1973,clean vehicle,46226,red,pennsylvania,Northeast,usa
34,5330,ford,2017,clean vehicle,37792,no_color,texas,South,usa
35,13000,ford,2003,clean vehicle,58817,gray,virginia,South,usa
36,11900,gmc,2017,clean vehicle,27965,black,california,West,usa
37,16600,mercedes-benz,2016,clean vehicle,110907,white,new york,Northeast,usa
38,19200,chevrolet,2018,clean vehicle,2430,white,tennessee,South,usa
39,7320,ford,2017,clean vehicle,32366,gold,texas,South,usa
40,7000,ford,2003,clean vehicle,176567,white,tennessee,South,usa
41,12710,gmc,2017,clean vehicle,30049,white,california,West,usa
42,16600,mercedes-benz,2016,clean vehicle,97983,white,new york,Northeast,usa
43,30500,chevrolet,2018,clean vehicle,30442,red,tennessee,South,usa
44,6330,ford,2017,clean vehicle,38123,red,texas,South,usa
45,55000,ford,2017,clean vehicle,15273,black,pennsylvania,Northeast,usa
46,12520,gmc,2017,clean vehicle,28972,black,california,West,usa
47,16200,jeep,2019,clean vehicle,30061,red,north carolina,South,usa
48,19000,chevrolet,2017,clean vehicle,18414,white,tennessee,South,usa
49,5580,dodge,2017,clean vehicle,46829,gray,texas,South,usa
50,54000,ford,2017,clean vehicle,26241,black,pennsylvania,Northeast,usa
51,12710,gmc,2017,clean vehicle,39886,red,california,West,usa
52,16000,jeep,2019,clean vehicle,31594,silver,north carolina,South,usa
53,27000,buick,2017,clean vehicle,32107,no_color,tennessee,South,usa
54,7760,ford,2017,clean vehicle,44794,gray,texas,South,usa
55,19600,chrysler,2019,clean vehicle,42648,gray,south carolina,South,usa
56,12920,gmc,2017,clean vehicle,39165,silver,california,West,usa
57,20000,jeep,2019,clean vehicle,38355,charcoal,north carolina,South,usa
58,18100,buick,2017,clean vehicle,46766,silver,florida,South,usa
59,23000,chrysler,2020,clean vehicle,2473,white,ohio,Midwest,usa
60,18500,chrysler,2019,clean vehicle,38586,gray,south carolina,South,usa
61,13490,gmc,2017,clean vehicle,27842,white,california,West,usa
62,20700,jeep,2019,clean vehicle,31156,white,north carolina,South,usa
63,17800,chevrolet,2017,clean vehicle,52435,black,florida,South,usa
64,6650,ford,2017,clean vehicle,29942,black,texas,South,usa
65,29100,chrysler,2019,clean vehicle,25281,red,south carolina,South,usa
66,12710,gmc,2017,clean vehicle,32504,silver,california,West,usa
67,21100,jeep,2019,clean vehicle,28649,silver,north carolina,South,usa
68,18600,chevrolet,2017,clean vehicle,35200,white,florida,South,usa
69,4340,ford,2017,clean vehicle,25602,silver,texas,South,usa
70,19300,chrysler,2019,clean vehicle,34801,gray,south carolina,South,usa
71,12780,gmc,2017,clean vehicle,31009,black,california,West,usa
72,15800,jeep,2019,clean vehicle,35595,charcoal,north carolina,South,usa
73,29400,bmw,2017,clean vehicle,23765,black,tennessee,South,usa
74,4430,ford,2017,clean vehicle,31792,black,texas,South,usa
75,19400,chrysler,2019,clean vehicle,33135,gray,south carolina,South,usa
76,12520,gmc,2017,clean vehicle,30636,red,california,West,usa
77,15900,jeep,2019,clean vehicle,34502,red,north carolina,South,usa
78,26400,buick,2017,clean vehicle,25434,white,florida,South,usa
79,4140,ford,2017,clean vehicle,36732,black,texas,South,usa
80,18300,chrysler,2019,clean vehicle,41792,gray,south carolina,South,usa
81,12520,gmc,2017,clean vehicle,31992,black,california,West,usa
82,17900,jeep,2019,clean vehicle,32501,red,north carolina,South,usa
83,18300,chevrolet,2017,clean vehicle,28395,black,florida,South,usa
84,4640,ford,2017,clean vehicle,36139,blue,texas,South,usa
85,24000,ford,2016,clean vehicle,84413,black,pennsylvania,Northeast,usa
86,13200,gmc,2017,clean vehicle,33457,white,california,West,usa
87,18000,jeep,2019,clean vehicle,29245,gray,north carolina,South,usa
88,14900,chevrolet,2017,clean vehicle,12783,silver,florida,South,usa
89,4140,ford,2017,clean vehicle,17617,white,texas,South,usa
90,11500,ford,2016,clean vehicle,36855,black,pennsylvania,Northeast,usa
91,9110,ford,2017,clean vehicle,110316,white,texas,South,usa
92,7350,chrysler,2015,clean vehicle,88227,black,pennsylvania,Northeast,usa
93,24500,bmw,2017,clean vehicle,17626,gray,michigan,Midwest,usa
94,9300,ford,2017,clean vehicle,120353,white,texas,South,usa
95,39800,dodge,2015,clean vehicle,3641,white,pennsylvania,Northeast,usa
96,53500,bmw,2017,clean vehicle,29355,blue,michigan,Midwest,usa
97,15110,ford,2017,clean vehicle,39333,black,texas,South,usa
98,34000,ford,2015,clean vehicle,42930,white,pennsylvania,Northeast,usa
99,26502,chevrolet,2017,clean vehicle,24993,black,michigan,Midwest,usa
100,5990,ford,2017,clean vehicle,44929,black,texas,South,usa
101,13600,ford,2018,clean vehicle,16971,black,south carolina,South,usa
102,23605,cadillac,2017,clean vehicle,35598,gray,michigan,Midwest,usa
103,10780,ford,2017,clean vehicle,40455,white,texas,South,usa
104,13800,ford,2018,clean vehicle,23164,white,south carolina,South,usa
105,25201,cadillac,2017,clean vehicle,19011,no_color,michigan,Midwest,usa
106,7070,ford,2017,clean vehicle,45191,white,texas,South,usa
107,8700,ford,2018,clean vehicle,21405,white,south carolina,South,usa
108,18003,chevrolet,2017,clean vehicle,19117,no_color,michigan,Midwest,usa
109,8530,ford,2017,clean vehicle,42104,black,texas,South,usa
110,23100,dodge,2018,clean vehicle,49496,white,south carolina,South,usa
111,24500,cadillac,2017,clean vehicle,32418,white,michigan,Midwest,usa
112,7000,ford,2017,clean vehicle,29882,white,texas,South,usa
113,17000,ford,2018,clean vehicle,34819,gold,south carolina,South,usa
114,34002,chevrolet,2017,clean vehicle,31923,white,michigan,Midwest,usa
115,6980,ford,2017,clean vehicle,29168,gray,texas,South,usa
116,25000,dodge,2018,clean vehicle,28307,silver,michigan,Midwest,usa
117,20802,chevrolet,2017,clean vehicle,33791,turquoise,michigan,Midwest,usa
118,9200,ford,2017,clean vehicle,21770,black,texas,South,usa
119,26500,chrysler,2017,clean vehicle,18375,gray,michigan,Midwest,usa
120,24802,chevrolet,2017,clean vehicle,14158,gray,michigan,Midwest,usa
121,7070,ford,2017,clean vehicle,30318,black,texas,South,usa
122,28500,ford,2017,clean vehicle,48086,red,south carolina,South,usa
123,47500,cadillac,2017,clean vehicle,26562,black,michigan,Midwest,usa
124,23500,ford,2017,clean vehicle,57611,black,south carolina,South,usa
125,23505,chevrolet,2017,clean vehicle,47357,black,michigan,Midwest,usa
126,10940,ford,2017,clean vehicle,84916,white,texas,South,usa
127,32100,ford,2017,clean vehicle,24521,gray,south carolina,South,usa
128,53000,chevrolet,2018,clean vehicle,16105,black,washington,West,usa
