id,price,brand,model,year,title_status,mileage,color,state,country
1,6300,toyota,cruiser,2008,clean vehicle,274117,black,new jersey,usa
2,2899,ford,se,2011,clean vehicle,190552,silver,tennessee,usa
3,5350,dodge,mpv,2018,clean vehicle,39590,silver,georgia,usa
4,25000,ford,door,2014,clean vehicle,64146,blue,virginia,usa
5,27700,chevrolet,1500,2018,clean vehicle,6654,red,florida,usa
6,5700,dodge,mpv,2018,clean vehicle,45561,white,texas,usa
7,7300,chevrolet,pk,2010,clean vehicle,149050,black,georgia,usa
8,13350,gmc,door,2017,clean vehicle,23525,gray,california,usa
9,14600,chevrolet,malibu,2018,clean vehicle,9371,silver,florida,usa
10,5250,ford,mpv,2017,clean vehicle,63418,black,texas,usa
11,10400,dodge,coupe,2009,clean vehicle,107856,orange,georgia,usa
12,12920,gmc,mpv,2017,clean vehicle,39650,white,california,usa
13,31900,chevrolet,1500,2018,clean vehicle,22909,black,tennessee,usa
14,5430,chrysler,wagon,2017,clean vehicle,138650,gray,texas,usa
15,20700,ford,door,2013,clean vehicle,100757,black,virginia,usa
16,12710,gmc,door,2017,clean vehicle,25747,white,california,usa
17,5200,kia,forte,2018,clean vehicle,46194,blue,north carolina,usa
18,16500,buick,encore,2018,clean vehicle,20002,red,tennessee,usa
19,5210,ford,mpv,2017,clean vehicle,35714,white,texas,usa
20,38100,ford,door,2013,clean vehicle,54380,gray,virginia,usa
21,12520,gmc,door,2017,clean vehicle,30114,white,california,usa
22,7300,kia,forte,2018,clean vehicle,38823,black,north carolina,usa
23,15000,chevrolet,door,2015,clean vehicle,61578,black,ohio,usa
24,6180,ford,mpv,2017,clean vehicle,46010,blue,texas,usa
25,20800,ford,door,2013,clean vehicle,105510,silver,virginia,usa
26,11900,gmc,door,2017,clean vehicle,28040,silver,california,usa
27,21500,kia,sorento,2020,clean vehicle,11451,blue,north carolina,usa
28,12000,buick,door,2014,clean vehicle,31039,brown,ohio,usa
29,4190,ford,doors,2017,clean vehicle,44174,white,texas,usa
30,13000,ford,chassis,2008,clean vehicle,93698,white,tennessee,usa
31,12710,gmc,door,2017,clean vehicle,26364,silver,california,usa
32,18500,infiniti,q70,2016,clean vehicle,71967,gray,new york,usa
33,29800,chevrolet,camaro,1973,clean vehicle,46226,red,pennsylvania,usa
34,5330,ford,mpv,2017,clean vehicle,37792,no_color,texas,usa
35,13000,ford,convertible,2003,clean vehicle,58817,gray,virginia,usa
36,11900,gmc,door,2017,clean vehicle,27965,black,california,usa
37,16600,mercedes-benz,vans,2016,clean vehicle,110907,white,new york,usa
38,19200,chevrolet,1500,2018,clean vehicle,2430,white,tennessee,usa
39,7320,ford,mpv,2017,clean vehicle,32366,gold,texas,usa
40,7000,ford,pk,2003,clean vehicle,176567,white,tennessee,usa
41,12710,gmc,door,2017,clean vehicle,30049,white,california,usa
42,16600,mercedes-benz,vans,2016,clean vehicle,97983,white,new york,usa
43,30500,chevrolet,1500,2018,clean vehicle,30442,red,tennessee,usa
